station id,station name,latitude,longitude
408,Edgerly Education Center,42.38717463,-71.08714389
409,Elm St at White St,42.38952436,-71.1169414
413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015
414,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131
415,Stuart St at Berkeley St,42.34954403,-71.07242074
419,Central Square East Boston,42.37544913,-71.03918549
422,American Legion Hwy at Canterbury St,42.27881158,-71.11687703
424,Jamaica St at South St,42.30604563,-71.11570891
425,The Dimock Center,42.31930943,-71.09639924
426,Surface Rd at Summer St,42.3529457,-71.05656401
432,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755
433,Centre St at Parkway YMCA,42.28277901,-71.15728851
434,Spring St at Powell St,42.27748444,-71.16341468
436,Maverick St at Massport Path,42.36774122,-71.03335975
437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434
440,Boston Landing,42.35656092,-71.14167538
441,Sullivan Square,42.38445226,-71.07514855
442,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012
443,Whittier St Health Center,42.33286288,-71.09218862
445,Geiger Gibson Community Health Center,42.31886468,-71.04536798
446,700 Commonwealth Ave.,42.34960945,-71.10391524
